year,exporter,flow,importer,resource,weight (kg),value (US$),exporterISO,importerISO,exporter continent,importer continent
2024,Latvia,Export,Ukraine,Oil,24371.0,12959.341,LVA,UKR,Europe,Europe
2024,Malaysia,Export,Australia,Oil,1872209500.0,1271214125.675,MYS,AUS,Asia,Oceania
2024,Malaysia,Export,Bangladesh,Oil,54765000.0,38908830.924,MYS,BGD,Asia,Asia
2024,Malaysia,Export,Brunei Darussalam,Oil,955059177.0,630536746.882,MYS,BRN,Asia,Asia
2024,Malaysia,Export,China,Oil,410499680.0,178744586.548,MYS,CHN,Asia,Asia
2024,Malaysia,Export,Indonesia,Oil,194806800.0,131791370.822,MYS,IDN,Asia,Asia
2024,Malaysia,Export,Japan,Oil,1565077000.0,1033980773.668,MYS,JPN,Asia,Asia
2024,Malaysia,Export,Rep. of Korea,Oil,43381500.0,23475406.927,MYS,KOR,Asia,Asia
2024,Malaysia,Export,Philippines,Oil,30080100.0,23058289.036,MYS,PHL,Asia,Asia
2024,Malaysia,Export,India,Oil,920943100.0,604736044.56,MYS,IND,Asia,Asia
2024,Malaysia,Export,Singapore,Oil,503094000.0,319730983.017,MYS,SGP,Asia,Asia
2024,Malaysia,Export,Viet Nam,Oil,39429000.0,29720269.052,MYS,VNM,Asia,Asia
2024,Malaysia,Export,Thailand,Oil,2901995100.0,1952703669.6,MYS,THA,Asia,Asia
2024,Latvia,Export,Estonia,Gas,38008.0,41832.922,LVA,EST,Europe,Europe
2024,Malaysia,Export,Australia,Gas,6908946.0,3412982.776,MYS,AUS,Asia,Oceania
2024,Malaysia,Export,China,Gas,7858415000.0,3345399620.353,MYS,CHN,Asia,Asia
2024,Malaysia,Export,Equatorial Guinea,Gas,2986000.0,1350630.224,MYS,GNQ,Asia,Africa
2024,Malaysia,Export,Japan,Gas,10840768000.0,5593573209.199,MYS,JPN,Asia,Asia
2024,Malaysia,Export,Rep. of Korea,Gas,6360060000.0,3035643255.054,MYS,KOR,Asia,Asia
2024,Malaysia,Export,Oman,Gas,701000.0,349810.375,MYS,OMN,Asia,Asia
2024,Malaysia,Export,Nigeria,Gas,1583000.0,1044080.445,MYS,NGA,Asia,Africa
2024,Malaysia,Export,India,Gas,21732000.0,9415821.865,MYS,IND,Asia,Asia
2024,Malaysia,Export,Singapore,Gas,66918890.95,27966613.588,MYS,SGP,Asia,Asia
2024,Malaysia,Export,Spain,Gas,2058410.0,1382349.722,MYS,ESP,Asia,Europe
2024,Malaysia,Export,Thailand,Gas,1830261000.0,828587602.347,MYS,THA,Asia,Asia
2024,Malaysia,Export,United Arab Emirates,Gas,3636000.0,2118876.111,MYS,ARE,Asia,Asia
2024,Malaysia,Export,USA,Gas,8781440.0,6372475.844,MYS,USA,Asia,North America
2024,Netherlands,Export,Australia,Coal,38.0,677.57,NLD,AUS,Europe,Oceania
2024,Netherlands,Export,Austria,Coal,1482011.0,468119.808,NLD,AUT,Europe,Europe
2024,Netherlands,Export,Bahrain,Coal,4000.0,4353.334,NLD,BHR,Europe,Asia
2024,Netherlands,Export,Belgium,Coal,114761730.0,31050144.347,NLD,BEL,Europe,Europe
2024,Netherlands,Export,Brazil,Coal,26.0,198.076,NLD,BRA,Europe,South America
2024,Netherlands,Export,Bulgaria,Coal,141199.0,44563.768,NLD,BGR,Europe,Europe
2024,Netherlands,Export,Canada,Coal,30949600.0,10137966.128,NLD,CAN,Europe,North America
2024,Netherlands,Export,China,Coal,8019010.0,3693795.418,NLD,CHN,Europe,Asia
2024,Netherlands,Export,Congo,Coal,55.0,153.698,NLD,COG,Europe,Africa
2024,Netherlands,Export,Croatia,Coal,181036.0,56665.864,NLD,HRV,Europe,Europe
2024,Netherlands,Export,Cuba,Coal,37516.0,45535.746,NLD,CUB,Europe,North America
2024,Netherlands,Export,Cyprus,Coal,144316.0,43355.832,NLD,CYP,Europe,Asia
2024,Netherlands,Export,Czechia,Coal,614363.0,193950.672,NLD,CZE,Europe,Europe
2024,Netherlands,Export,Denmark,Coal,3717412.0,1118353.375,NLD,DNK,Europe,Europe
2024,Netherlands,Export,Estonia,Coal,4007817.0,1343515.57,NLD,EST,Europe,Europe
2024,Netherlands,Export,Finland,Coal,21913812.0,3279071.604,NLD,FIN,Europe,Europe
2024,Netherlands,Export,France,Coal,217015380.0,63555058.905,NLD,FRA,Europe,Europe
2024,Netherlands,Export,Germany,Coal,3193015200.0,606495569.546,NLD,DEU,Europe,Europe
2024,Netherlands,Export,Greece,Coal,270078.0,83255.623,NLD,GRC,Europe,Europe
2024,Netherlands,Export,Hungary,Coal,221522.0,70884.014,NLD,HUN,Europe,Europe
2024,Netherlands,Export,Iceland,Coal,33530612.0,11636456.932,NLD,ISL,Europe,Europe
2024,Netherlands,Export,Ireland,Coal,19205577.0,4669316.785,NLD,IRL,Europe,Europe
2024,Netherlands,Export,Italy,Coal,1179884.0,401830.499,NLD,ITA,Europe,Europe
2024,Netherlands,Export,Lebanon,Coal,6800.0,7771.492,NLD,LBN,Europe,Asia
2024,Netherlands,Export,Latvia,Coal,359976.0,126478.322,NLD,LVA,Europe,Europe
2024,Netherlands,Export,Libya,Coal,5287.0,6114.367,NLD,LBY,Europe,Africa
2024,Netherlands,Export,Lithuania,Coal,157694.0,49665.027,NLD,LTU,Europe,Europe
2024,Netherlands,Export,Luxembourg,Coal,88464.0,35600.576,NLD,LUX,Europe,Europe
2024,Netherlands,Export,Malaysia,Coal,37520500.0,11602592.494,NLD,MYS,Europe,Asia
2024,Netherlands,Export,Malta,Coal,2903437.0,277295.05,NLD,MLT,Europe,Europe
2024,Netherlands,Export,Morocco,Coal,72116126.0,7899483.192,NLD,MAR,Europe,Africa
2024,Netherlands,Export,Curaçao,Coal,289.0,360.433,NLD,CUW,Europe,North America
2024,Netherlands,Export,Nigeria,Coal,9.0,637.522,NLD,NGA,Europe,Africa
2024,Netherlands,Export,Norway,Coal,418639378.0,127948611.975,NLD,NOR,Europe,Europe
2024,Netherlands,Export,Poland,Coal,17794895.0,5668382.091,NLD,POL,Europe,Europe
2024,Netherlands,Export,Portugal,Coal,183183.0,61457.563,NLD,PRT,Europe,Europe
2024,Netherlands,Export,Romania,Coal,250037.0,79648.049,NLD,ROU,Europe,Europe
2024,Netherlands,Export,Saudi Arabia,Coal,13137.0,9954.653,NLD,SAU,Europe,Asia
2024,Netherlands,Export,India,Coal,175.0,1157.065,NLD,IND,Europe,Asia
2024,Netherlands,Export,Singapore,Coal,28.0,855.081,NLD,SGP,Europe,Asia
2024,Netherlands,Export,Slovakia,Coal,404704.0,136933.034,NLD,SVK,Europe,Europe
2024,Netherlands,Export,Viet Nam,Coal,7735883.0,3994202.538,NLD,VNM,Europe,Asia
2024,Netherlands,Export,Slovenia,Coal,95702.0,30834.855,NLD,SVN,Europe,Europe
2024,Netherlands,Export,South Africa,Coal,6415650.0,2620256.924,NLD,ZAF,Europe,Africa
2024,Netherlands,Export,Spain,Coal,18783525.0,5104308.174,NLD,ESP,Europe,Europe
2024,Netherlands,Export,Sweden,Coal,16581666.0,6114415.926,NLD,SWE,Europe,Europe
2024,Netherlands,Export,Switzerland,Coal,1537555.0,174866.14,NLD,CHE,Europe,Europe
2024,Netherlands,Export,United Arab Emirates,Coal,33469.0,15978.1,NLD,ARE,Europe,Asia
2024,Netherlands,Export,Türkiye,Coal,30908000.0,591499.274,NLD,TUR,Europe,Asia
2024,Netherlands,Export,United Kingdom,Coal,12299457.0,3323789.07,NLD,GBR,Europe,Europe
2024,New Zealand,Export,Australia,Coal,54.0,2121.046,NZL,AUS,Oceania,Oceania
2024,New Zealand,Export,China,Coal,110000000.0,11964528.533,NZL,CHN,Oceania,Asia
2024,New Zealand,Export,Fiji,Coal,3144.0,8615.574,NZL,FJI,Oceania,Oceania
2024,New Zealand,Export,Indonesia,Coal,54500000.0,6335717.465,NZL,IDN,Oceania,Asia
2024,New Zealand,Export,Niue,Coal,10.0,121.099,NZL,NIU,Oceania,Oceania
2024,New Zealand,Export,Norfolk Isds,Coal,17.0,348.159,NZL,NFK,Oceania,Oceania
2024,New Zealand,Export,Wallis and Futuna Isds,Coal,30.0,90.824,NZL,WLF,Oceania,Oceania
2024,Portugal,Export,Angola,Coal,2000.0,4156.341,PRT,AGO,Europe,Africa
2024,Portugal,Export,Sao Tome and Principe,Coal,593.0,3346.72,PRT,STP,Europe,Africa
2024,Portugal,Export,Spain,Coal,112266.0,132450.897,PRT,ESP,Europe,Europe
2024,Portugal,Export,Switzerland,Coal,915.0,874.563,PRT,CHE,Europe,Europe
2024,Portugal,Export,United Kingdom,Coal,1534.0,1130.005,PRT,GBR,Europe,Europe
2024,Netherlands,Export,Australia,Oil,3.0,3.247,NLD,AUS,Europe,Oceania
2024,Netherlands,Export,Austria,Oil,4431.0,2999.276,NLD,AUT,Europe,Europe
2024,Netherlands,Export,Belgium,Oil,15028989370.0,8968267681.82,NLD,BEL,Europe,Europe
2024,Netherlands,Export,Brazil,Oil,30630900.0,20762955.838,NLD,BRA,Europe,South America
2024,Netherlands,Export,Brunei Darussalam,Oil,14.0,4.33,NLD,BRN,Europe,Asia
2024,Netherlands,Export,Bulgaria,Oil,4481.0,3098.855,NLD,BGR,Europe,Europe
2024,Netherlands,Export,Colombia,Oil,1.0,5.412,NLD,COL,Europe,South America
2024,Netherlands,Export,Croatia,Oil,2946.0,1962.356,NLD,HRV,Europe,Europe
